month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-12,Alabama,33683,485,33020,25882,1560,1382,0,42,27,2,2538,1373,7,0,0,0,0,0,53,31,8,1,6,0,100100
2019-12,Alaska,386,13,3455,3080,397,215,0,2,0,0,112,99,2,29,18,0,0,0,18,13,1,0,0,0,7840
2019-12,Arizona,4536,649,18178,10423,1560,1109,0,8,4,0,1105,447,3,106,13,2,0,0,20,6,2,0,0,0,38171
2019-12,Arkansas,2339,638,8671,10957,531,458,3,10,10,0,995,1053,4,0,0,0,0,0,10,16,3,0,1,0,25699
2019-12,California,29544,0,40637,30780,4883,0,0,0,0,0,420,334,2,0,0,0,0,0,0,0,0,0,0,0,106600
2019-12,Colorado,4867,0,22531,16681,1762,1333,0,0,0,0,0,0,0,266,55,1,0,0,0,0,0,0,0,0,47496
2019-12,Connecticut,4329,384,5655,2215,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13289
2019-12,Delaware,153,0,2075,2301,120,94,0,0,2,0,11,8,0,47,0,0,0,0,78,30,1,0,0,0,4920
2019-12,District of Columbia,623,0,101,1,0,1,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,755
2019-12,Florida,15238,0,67435,31580,4458,3150,0,36,19,0,3969,1204,12,940,95,25,0,0,292,172,39,68,57,0,128789
2019-12,Georgia,19493,0,21514,17664,880,807,0,21,21,4,1629,1055,8,38,0,0,0,0,14,3,0,1,2,0,63154
2019-12,Guam,0,0,180,86,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
2019-12,Hawaii,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1199
2019-12,Idaho,5207,5,6745,7111,514,328,0,4,7,0,308,314,1,36,14,2,0,0,5,6,0,1,1,0,20609
2019-12,Illinois,15241,493794,24792,13258,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548192
2019-12,Indiana,757,31033,26770,18746,2075,1239,11,6,6,2,616,355,30,10,0,0,0,0,50,44,14,2,0,0,81766
2019-12,Iowa,6589,8286,271,4421,81,3,1,0,0,0,2,51,0,28,11,0,0,0,0,3,0,0,0,0,19747
2019-12,Kansas,1324,12,8092,8653,716,476,0,7,7,4,602,281,10,31,2,1,0,0,17,7,1,0,1,0,20244
2019-12,Kentucky,1160,369253,16185,14471,729,753,42,31,15,0,1502,1071,1,4,4,0,0,0,31,32,3,1,1,2,405291
2019-12,Louisiana,943,103,14237,16743,912,767,0,11,10,0,904,681,11,0,0,0,0,0,16,20,0,0,0,0,35358
2019-12,Maine,301,3,3651,4119,348,211,8,1,0,0,67,63,1,19,8,0,0,0,4,2,0,0,0,0,8806
2019-12,Mariana Islands,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2019-12,Maryland,3446,8,4175,6878,186,34,0,1,1,0,64,99,4,40,18,1,0,0,0,46,1,2,1,0,15005
2019-12,Massachusetts,6973,0,4516,2789,510,196,9,0,0,0,11,7,1,2,0,0,0,0,27,19,8,0,1,0,15069
2019-12,Michigan,15746,3453,14303,14075,1008,332,1,1,7,0,8,176,0,76,9,0,0,0,7,7,0,0,0,0,49209
2019-12,Minnesota,9676,25827,9835,11241,1023,514,0,4,8,1,172,231,3,118,5,0,0,0,18,23,2,0,0,0,58701
2019-12,Mississippi,1515,0,12935,14538,536,593,0,31,13,3,1472,1130,5,12,2,0,0,0,10,8,1,0,0,0,32804
2019-12,Missouri,3695,0,26084,22222,2346,1321,0,16,5,2,1364,738,12,174,31,5,0,0,57,45,7,1,4,0,58129
2019-12,Montana,1365,0,4169,5522,301,249,10,6,19,0,331,523,1,29,3,0,0,0,4,7,0,0,1,0,12540
2019-12,Nebraska,4689,91,173,3205,44,4,0,0,1,0,3,40,1,16,2,0,0,0,0,2,0,0,0,0,8271
2019-12,Nevada,1622,0,6307,3636,385,362,0,0,0,0,298,125,1,1,0,0,0,0,19,6,0,0,0,0,12762
2019-12,New Hampshire,1081,0,5471,3255,322,0,16,0,30,0,0,5,0,45,3,4,0,0,0,0,0,0,0,0,10232
2019-12,New Jersey,0,0,3747,4341,216,0,0,0,0,0,0,0,0,1,1,0,0,0,54,57,5,2,1,2,8427
2019-12,New Mexico,760,0,7794,5184,584,421,0,12,8,1,407,354,0,41,0,0,0,0,40,18,4,1,0,0,15629
2019-12,New York,3069,1461,8899,16654,1517,224,0,0,0,0,55,51,7,23,64,4,3,4,286,220,21,6,5,1,32574
2019-12,North Carolina,23541,75,2559,22945,1295,245,0,16,30,2,1759,1513,10,445,82,7,5,7,26,18,1,1,0,0,54582
2019-12,North Dakota,261,13,2155,3171,175,120,11,1,2,0,58,76,2,7,0,0,0,0,3,2,1,0,0,0,6058
2019-12,Ohio,9850,146,31054,23312,2223,1380,0,9,5,4,984,517,11,55,18,4,0,0,38,28,3,0,0,1,69642
2019-12,Oklahoma,2309,0,19110,14320,1574,1223,19,21,14,3,1659,1241,8,7,1,0,0,0,43,28,15,1,4,0,41600
2019-12,Oregon,5009,564,17610,14016,0,4,8,0,0,0,0,0,0,117,44,2,0,0,0,0,0,0,0,0,37374
2019-12,Pennsylvania,21995,0,53180,20278,32,0,265,0,0,0,0,0,0,532,99,1,0,0,0,0,0,0,0,0,96382
2019-12,Puerto Rico,0,0,1767,195,131,26,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2138
2019-12,Rhode Island,0,0,1117,794,84,217,0,0,0,0,3,1,0,74,82,7,0,0,13,14,0,0,0,0,2406
2019-12,South Carolina,7891,197,14905,11857,1005,655,1,10,6,1,827,448,5,114,13,1,0,0,14,9,2,1,0,0,37962
2019-12,South Dakota,467,9,3264,4482,262,207,0,0,0,0,101,140,0,0,0,0,0,0,19,23,24,1,0,0,8999
2019-12,Tennessee,10319,26,35893,26800,1899,0,0,0,0,0,4,1,0,84,9,1,0,0,0,0,0,0,0,0,75036
2019-12,Texas,25456,0,69732,53386,4713,3398,4,56,39,3,5836,3381,29,70,6,0,0,0,61,60,9,0,1,1,166241
2019-12,Utah,11139,62935,5893,6783,407,0,0,0,6,1,237,258,0,142,52,30,0,0,0,0,0,0,0,0,87883
2019-12,Vermont,0,0,1610,1613,151,83,4,1,0,0,2,9,1,0,0,0,0,0,3,5,2,0,0,0,3484
2019-12,Virgin Islands,78,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
2019-12,Virginia,392,406,37790,29539,8357,0,2,0,0,0,0,0,0,60,12,1,0,0,0,0,0,0,0,0,76559
2019-12,Washington,13500,404,20508,11752,3724,51,9,5,152,7,319,585,25,529,82,10,0,0,222,259,86,0,4,1,52234
2019-12,West Virginia,1616,98,8815,9944,415,490,0,5,7,0,816,758,2,5,0,0,0,0,10,9,0,0,0,0,22990
2019-12,Wisconsin,7738,509,17195,14486,1223,41,0,0,1,9,115,145,6,81,29,3,0,0,0,3,0,0,0,0,41584
2019-12,Wyoming,543,7,3293,3077,212,152,1,3,3,0,116,136,2,0,0,0,0,0,7,4,0,0,0,0,7556
2019-11,Alabama,26375,472,24005,19212,1161,1286,0,32,26,1,3017,1968,20,0,0,0,0,0,46,31,3,1,1,0,77657
2019-11,Alaska,238,10,3003,2980,368,260,0,0,0,0,152,86,2,32,28,0,0,0,30,20,4,0,0,0,7213
2019-11,Arizona,4524,650,13775,8180,1131,1182,0,6,6,1,1199,558,6,86,14,0,0,0,20,9,4,1,0,0,31352
2019-11,Arkansas,2319,649,6814,9628,321,542,4,21,8,0,1145,1707,5,0,0,0,0,0,5,20,2,0,2,0,23192
2019-11,California,29002,0,34345,25063,3564,0,0,0,0,0,462,312,17,0,0,0,0,0,0,0,0,0,0,0,92765
2019-11,Colorado,4765,0,17950,13946,1475,1272,0,0,0,0,0,0,0,225,49,0,0,0,0,0,0,0,0,0,39682
2019-11,Connecticut,5513,355,4908,2321,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13789
2019-11,Delaware,154,0,1684,2063,95,88,0,3,0,0,12,14,0,48,0,0,0,0,68,28,1,0,0,0,4258
2019-11,District of Columbia,459,0,103,1,0,1,3,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,595
2019-11,Florida,14070,0,54799,24497,3666,2924,0,41,18,0,4365,1419,6,902,84,27,0,0,197,138,29,53,39,0,107274
2019-11,Georgia,14625,0,16171,13002,653,721,0,27,20,0,1926,1394,8,38,2,0,0,0,8,7,2,0,0,0,48604
2019-11,Guam,0,0,98,65,12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
2019-11,Hawaii,921,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,923
2019-11,Idaho,5124,7,4875,5774,426,330,0,7,4,1,379,389,1,35,9,2,0,0,5,15,0,2,0,0,17385
2019-11,Illinois,12356,403014,21597,12115,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450084
2019-11,Indiana,668,35253,21903,17950,1776,1067,24,4,7,0,664,532,13,13,0,1,0,0,46,34,43,2,2,0,80002
