Id,price,transferDate,postcode,propertyType,oldOrNew,duration,paon,saon,street,locality,city,district,county,ppdCategoryType,recordStatus
"{7E86B6FB-B772-458C-E053-6B04A8C0C84C}","350000","2018-11-30 00:00","S80 1JQ","O","N","F","28","","BRIDGE STREET","","WORKSOP","BASSETLAW","NOTTINGHAMSHIRE","B","A"
"{7E86B6FB-B773-458C-E053-6B04A8C0C84C}","255000","2018-12-05 00:00","NG2 2JR","D","N","F","1","","ARKWRIGHT STREET","","NOTTINGHAM","CITY OF NOTTINGHAM","CITY OF NOTTINGHAM","B","A"
"{7E86B6FB-B774-458C-E053-6B04A8C0C84C}","88000","2018-12-14 00:00","NG4 3AZ","F","N","L","2","","MANOR GREEN","CARLTON","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","B","A"
"{7E86B6FB-C7EB-458C-E053-6B04A8C0C84C}","105000","2018-11-14 00:00","WF8 2FW","D","Y","F","32","","BIRCH WAY","","PONTEFRACT","WAKEFIELD","WEST YORKSHIRE","B","A"
"{7E86B6FB-C7EC-458C-E053-6B04A8C0C84C}","86697","2018-09-21 00:00","LS18 4GG","T","Y","F","9","","WATER VIEW","HORSFORTH","LEEDS","LEEDS","WEST YORKSHIRE","B","A"
"{7E86B6FB-C7ED-458C-E053-6B04A8C0C84C}","95000","2018-11-05 00:00","LS5 3AD","F","Y","L","KIRKSTALL GATE, 101","APARTMENT 3","COMMERCIAL ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","B","A"
"{7E86B6FB-7A7F-458C-E053-6B04A8C0C84C}","178000","2018-11-23 00:00","B23 7EB","S","N","F","41","","WOOLMORE ROAD","","BIRMINGHAM","BIRMINGHAM","WEST MIDLANDS","A","A"
"{7E86B6FB-7A80-458C-E053-6B04A8C0C84C}","144500","2018-11-09 00:00","B34 7SG","T","N","F","137","","KENDRICK AVENUE","","BIRMINGHAM","BIRMINGHAM","WEST MIDLANDS","A","A"
"{7E86B6FB-7A81-458C-E053-6B04A8C0C84C}","153000","2018-11-30 00:00","B42 2NT","S","N","F","18","","HESTON AVENUE","","BIRMINGHAM","BIRMINGHAM","WEST MIDLANDS","A","A"
"{68FEB20C-42CA-38DA-E053-6C04A8C051AE}","4250000","2018-02-28 00:00","RG41 2RU","O","N","L","LIDL FOODSTORE","","MOLLY MILLARS LANE","","WOKINGHAM","WOKINGHAM","WOKINGHAM","B","A"
"{68FEB20C-42CB-38DA-E053-6C04A8C051AE}","302500","2018-02-09 00:00","RG19 4LX","S","N","F","5","","VICTOR ROAD","","THATCHAM","WEST BERKSHIRE","WEST BERKSHIRE","B","A"
"{68FEB20C-42CC-38DA-E053-6C04A8C051AE}","720000","2018-02-20 00:00","SL3 8LW","S","N","F","14","","RAYMOND ROAD","","SLOUGH","SLOUGH","SLOUGH","B","A"
"{68FEB20C-42CD-38DA-E053-6C04A8C051AE}","235000","2018-02-28 00:00","RG42 3HW","T","N","F","37","","STAFFORDSHIRE CROFT","WARFIELD","BRACKNELL","BRACKNELL FOREST","BRACKNELL FOREST","B","A"
"{68FEB20C-42CE-38DA-E053-6C04A8C051AE}","15835000","2018-02-19 00:00","SL4 1NA","O","N","F","RIVERSIDE HOUSE","","RIVERSIDE WALK","","WINDSOR","WINDSOR AND MAIDENHEAD","WINDSOR AND MAIDENHEAD","B","A"
"{68FEB20C-42D1-38DA-E053-6C04A8C051AE}","300000","2018-02-20 00:00","SL1 1SB","S","N","F","15","","PRINCES STREET","","SLOUGH","SLOUGH","SLOUGH","B","A"
"{68FEB20C-42D2-38DA-E053-6C04A8C051AE}","2720000","2018-01-26 00:00","RG1 2EQ","O","N","F","1 - 2","","MARKET PLACE","","READING","READING","READING","B","A"
"{68FEB20C-43A2-38DA-E053-6C04A8C051AE}","20000","2018-02-19 00:00","","O","N","F","PLOT 6","","WELDERS LANE","CHALFONT ST PETER","GERRARDS CROSS","CHILTERN","BUCKINGHAMSHIRE","B","A"
"{68FEB20C-43A3-38DA-E053-6C04A8C051AE}","21000","2018-02-19 00:00","","O","N","F","PLOT 11","","WELDERS LANE","CHALFONT ST PETER","GERRARDS CROSS","CHILTERN","BUCKINGHAMSHIRE","B","A"
"{68FEB20C-43A4-38DA-E053-6C04A8C051AE}","375000","2018-03-16 00:00","HP5 1HF","O","N","F","CHESSMAN HOUSE, 4 - 6","","RED LION STREET","","CHESHAM","CHILTERN","BUCKINGHAMSHIRE","B","A"
